abç;abraço
adapitador;adaptador
ae;aí
aew;e aí
aff;desapontante
at+;até mais tarde
agg;agora
aham;sim
ahua;risada
alterassaum;alteração
akbo;acabou
akele;aquele
aki;aqui
amgo;amigo
amour;amor
amul;amo
anaum;anão
anju;anjo
app;aplicativo
aqê;aqui
aq;aqui
arkivu;arquivo
asho;acho
ashu;acho
axa;acha
axu;acho
bashando;baixando
baum;bom
baxin;baixinho
beim;bem
bb;bebê
bbeu;bebeu
bgd;obrigado
bilhetin;bilhetinho
bikim;biquinho
bikini;biquine
bj;beijo
blz;beleza
bora;embora
boua;boa
brig´s;obrigado
brink´s;brincadeira
brinquedin;brinquedinho
btf;tenho fé
bv;boca virgem
c;você
calmin;calmo
caracow;caraca
caxorro;cachorro
cedaum;muito cedo
cel;celular
cê;você
cda;cada
chegay;cheguei
choranu;chorando
clike;clique
cmg;comigo
cntg;contigo
colok;colocar
coment's;comentário
comg;comigo
complikadu;complicado
corguin;córrego
covard;covarde
culete;colete
cunhesu;conheço
conte;conte
conkistô;consquistou
cnte;conte
craq;craque
cruzis;cruzes
cs;vocês
ct;certeza
ctz;certeza
cumé;como é
cursin;cursinho
cv;conversa
cvard;covarde
cvs;conversar
d;de
dakeê;daqui
dakeles;daqueles
daqle;daquele
decha;deixa
dels;deus
d+;demais
dmais;demais
demorô;demorou
d nda;de nada
deol;deu
deprê;depressão
deshar;deixar
detali;detalhe
dexha;deixa
direitin;direitinho
docih;doce
dp;depois
dps;depois
dpois;depois
deskbelada;descabelada
duenti;duente
dus;dos
eh;é
entaum;então
enqt;enquanto
ensaiu;ensaio
enterrey;enterrei
eol;eu
eoq;é o que
explike;explique
espantey;espantei
esqêci;esqueci
eskeçe;esquece
expliku;explico
fais;faz
fan;fã
facul;faculdade
falô;falou
fcd;fica com deus
fdp;filho da puta
fds;fim de semana
fi;filho
find;fim de semana
fik;fica
fikr;ficar
fikei;fiquei
fikva;ficava
fl;falo
flei;falei
flw;falou
fmz;firmeza
fossi;fosse
ft;foto
futs;futsal
fzr;fazer
4rever;forever
gatchenha;gatinha
gateenha;gatinha
gatinhu;gatinho
gnt;gente
grazadels;graças a deus
hahaha;gargalhada moderada
huahuahua;gargalhada escandalosa
hehehe;risada
hoji;hoje
hr;hora
hj;hoje
idd;idade
ineskecivel;inesquecível
infelix;infeliz
ingto;ingrato
intaum;então
inté;até
intndndu;entendendo 
jah;já 
kbça;cabeça
kbelo;cabelo
kd;cadê
kda;cada
ke;que
kero;quero
ki;que
kietin;quieto
kinta;quinta
kis;quis
kiser;quiser
kvard;covarde
kra;cara
kração;coração
ksa;casa
kkk;gargalhada
lanxi;lanche
legalz;legal
lokura;loucura
lol;risada
logiko;lógico
longi;longe
magine;imagine
majia;magia
maix;mais
makina;máquina
marka;marca
meldels;meu deus
meliiores;melhores
mels;meus
meo;meu
mermo;mesmo
miga;amiga
migz;amigas
mimi;dormir
mlk;muleque
mlke;muleque
mô;amor
mooh;amor
morenin;moreninho
moziin;amorzinho
mskinha;musiquinha
mulek;muleque
msm;mesmo
msg;mensagem
mt;muito
mto;muito
n;não
ñ;não
nads;nada
namo;namorado
naum;não
nd;nada
nda;nada
net;internet
niver;aniversário
ng;ninguém
ngm;ninguém
noês;nós
noiti;noite
noix;nós
novis;novidades
nunk;nunca
nuss;nossa
9vidades;novidades
ô;que
obg;obrigado
obgda;obrigada
obv;óbvio
oc;você
okay;tudo certo
orcut;orkut
ospital;hospital
paishão;paixão
paliaçada;palhaçada
parecenu;parecendo
pc;computador
pdc;pode crer
pde;pode
perfoh;perfeito
podexá;pode deixar
poka;pouca
pokin;pouquinho
pouku;pouco
pq;porque
pqê;por quê
pkna;pequena
pkno;pequeno
pqp;puta que pariu
principi;príncipe
pueira;poeira
pufavô;por favor
pulus;pulos
purke;porque
pusha;puxar
q;que
qdo;quando
qdô;vide qdo
qê;que
qlqr;qualquer
qm;quem
qnto;quanto
qq;qualquer
qrendo;querendo
qria;queria
qro;quero
qse;quase
qto;quanto
quiança;criança
qzr;quizer
r;are
rapá;rapaz
rasho;arraso
rox;agitou muito
rs;risos
s;sim
santin;santo
saite;site
sddz;saudades
seol;seu
serin;sério
shamar;chamar
shegou;chegou
shuver;chover
sinhê;sim
smp;sempre
soh;só
solidariu;solidário
sonin;soninho
soutero;solteiro
stóra;estoura
stranho;estranho
sux;algo ruim
t+;até mais
tá;está
tadin;coitadinho
tah;tá
taum;estão
tbm;também
tc;teclar
td;tudo
tdb;tudo bom
tds;todos
té +;até mais
teim;tem
thi;te
tipow;tipo
tomey;tomei
tou;estou
tp;tipo
trais;traz
trankei;tranquei
trankilidade;tranquilidade
u;you
umiliá;humilhar
vc;você
vdd;verdade
veix;vez
veiz;vez
vest;vestibular
virô;virou
vlw;valeu
vg;vírgula
volc;você
voley;vôlei
voltey;voltei
vsf;vai se f***
v6;vocês
xau;tchau
xaudade;saudade
xeid;cheio de
xegô;chegou
xênte;gente
xeru;cheiro
xover;chover
xorar;chorar
